地域 コード,地域,B1103_可住地面積【ｈａ】,B4108_日照時間（年間）【時間】,B4109_降水量（年間）【ｍｍ】,C310702_耕地面積（畑）【ｈａ】,可住地面積に占める畑の割合【％】
1000,北海道,2269923,1764.3,905,921400,40.59168527
2000,青森県,325319,1598.9,1417,70400,21.64029768
3000,岩手県,375137,1563.8,1462,55500,14.79459504
4000,宮城県,318591,1797.2,1247,22100,6.936793569
5000,秋田県,323334,1535.7,2022.5,18000,5.566998831
6000,山形県,287329,1547.1,1284.5,24700,8.596417347
7000,福島県,423073,1683.5,1224.5,40500,9.572816039
8000,茨城県,388884,2058.8,1422,67600,17.38307567
9000,栃木県,300506,1967.2,1353.5,26600,8.851736737
10000,群馬県,226902,2154.8,1315.5,41500,18.28983438
11000,埼玉県,260309,2110.6,1364,33000,12.67724128
12000,千葉県,353386,1880.4,1791.5,50500,14.29032276
13000,東京都,142278,1889.5,1590,6310,4.434979407
14000,神奈川県,147384,2005.1,1687.5,14800,10.04179558
15000,新潟県,455017,1608.5,2077.5,19000,4.175668162
16000,富山県,184227,1664.6,2136,2700,1.465583221
17000,石川県,139464,1735.8,2535.5,6870,4.926002409
18000,福井県,107728,1695.3,2531.5,3710,3.443858607
19000,山梨県,95311,2250.3,1431,15700,16.47239039
20000,長野県,324893,1949.1,1030,53400,16.43618053
21000,岐阜県,221063,2172.7,2088.5,13000,5.880676549
22000,静岡県,277474,2245.1,2613.5,41100,14.81219862
23000,愛知県,299576,2215.8,1711,31900,10.64838305
24000,三重県,206415,2174.5,1787,13800,6.685560642
25000,滋賀県,129957,1905.9,1862.5,3850,2.962518371
26000,京都府,117729,1851.9,1644.5,6640,5.64007169
27000,大阪府,133405,2149.6,1521.5,3780,2.833477006
28000,兵庫県,276954,2185.8,1614.5,6140,2.21697466
29000,奈良県,85389,1881.7,1628.5,5880,6.886132874
30000,和歌山県,112335,2178.5,1657.5,22500,20.02937642
31000,鳥取県,90434,1726.8,2096,11000,12.1635668
32000,島根県,127098,1780.8,2015,7000,5.507561095
33000,岡山県,222827,2162.4,1154,13600,6.103389625
34000,広島県,229873,2167.1,2026.5,13300,5.785803465
35000,山口県,171516,2007.4,2277,7590,4.425243126
36000,徳島県,101604,2240.5,1644,9100,8.956340302
37000,香川県,100494,2174,1108.5,4970,4.94556889
38000,愛媛県,166601,2162.8,1662,25000,15.00591233
39000,高知県,116129,2310.1,3238.5,6490,5.588612664
40000,福岡県,276338,2040.5,2212.5,15600,5.645260514
41000,佐賀県,133459,2095,2876,8800,6.593785357
42000,長崎県,166797,1974.3,2709.5,25000,14.98827917
43000,熊本県,274696,2130.6,2467.5,42000,15.28962926
44000,大分県,179511,2166.4,1860,15800,8.801689033
45000,宮崎県,187614,2208,2279.5,30300,16.15018069
46000,鹿児島県,328812,2041.4,2977.5,78700,23.93464959
47000,沖縄県,112657,1737.2,2481,36100,32.04416947
